time/episodes,train/critic_loss,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,rollout/ep_len_mean,train/actor_loss,train/n_updates
16250,11.952032089233398,37,707863,211.27518646000004,8,0.0001,71.09,-56.36922073364258,697862
16260,10.624970436096191,37,708323,200.05993607,20,0.0001,68.21,-50.897491455078125,698322
16270,12.032251358032227,36,708749,188.45303639000002,32,0.0001,65.45,-45.048439025878906,698748
16280,10.370906829833984,35,709261,179.34242888,48,0.0001,62.97,-50.094444274902344,699260
16290,10.077570915222168,35,709823,168.62141977,63,0.0001,59.86,-48.344547271728516,699822
16300,10.395881652832031,36,710410,165.05918631,79,0.0001,59.05,-51.88776397705078,700409
16310,11.062379837036133,36,710967,152.67980641999998,94,0.0001,55.77,-55.158809661865234,700966
16320,16.656728744506836,36,711595,149.23036516,111,0.0001,55.27,-54.71009826660156,701594
16330,14.570782661437988,36,712184,144.66727895999998,126,0.0001,53.88,-58.69496536254883,702183
16340,11.96487045288086,36,712758,141.84705691000002,141,0.0001,52.76,-62.58552169799805,702757
16350,13.424415588378906,36,713417,152.35820902000003,159,0.0001,55.54,-57.684486389160156,703416
16360,13.991174697875977,37,714089,161.01878294,176,0.0001,57.66,-63.7702522277832,704088
16370,13.244128227233887,37,714712,170.44854933999994,192,0.0001,59.63,-62.15335464477539,704711
16380,14.037572860717773,37,715292,172.46909206,207,0.0001,60.31,-63.68449020385742,705291
16390,14.023824691772461,37,715966,175.47549931,225,0.0001,61.43,-63.070762634277344,705965
16400,15.215971946716309,37,716553,173.58754261,240,0.0001,61.43,-63.721012115478516,706552
16410,16.23203468322754,37,717043,173.12975899000006,253,0.0001,60.76,-64.71031188964844,707042
16420,17.14874839782715,37,717593,171.89034317999997,267,0.0001,59.98,-65.80049896240234,707592
16430,17.225534439086914,37,718187,172.19667974999993,283,0.0001,60.03,-66.83061981201172,708186
16440,21.68655014038086,37,718684,167.63670049999996,296,0.0001,59.26,-61.60700607299805,708683
16450,24.80925750732422,37,719236,161.6022235,310,0.0001,58.19,-67.52320098876953,709235
16460,18.844524383544922,37,719811,158.08426784000002,326,0.0001,57.22,-70.90039825439453,709810
16470,24.958885192871094,37,720363,156.01928336999998,340,0.0001,56.51,-65.66320037841797,710362
16480,24.089740753173828,37,721019,160.32902056,357,0.0001,57.27,-71.70166015625,711018
16490,19.752172470092773,37,721660,158.22183585000002,374,0.0001,56.94,-67.21790313720703,711659
16500,25.207386016845703,37,722214,157.83690671,388,0.0001,56.61,-72.6899642944336,712213
16510,24.641895294189453,37,722759,159.7029662,403,0.0001,57.16,-75.81369018554688,712758
16520,23.338911056518555,37,723363,161.27452043000002,418,0.0001,57.7,-61.906463623046875,713362
16530,25.661888122558594,37,723908,159.27766562,433,0.0001,57.21,-64.89836883544922,713907
16540,20.972064971923828,37,724594,163.5513451,450,0.0001,59.1,-70.468994140625,714593
16550,22.519771575927734,37,725167,165.36727953,466,0.0001,59.31,-65.04338836669922,715166
16560,22.242446899414062,37,725732,164.03624703000003,480,0.0001,59.21,-76.59224700927734,715731
16570,24.479598999023438,37,726334,163.29022781,497,0.0001,59.71,-72.28649139404297,716333
16580,21.185317993164062,37,727050,164.67016076999997,518,0.0001,60.31,-74.85236358642578,717049
16590,35.450439453125,37,727772,169.77720513000003,538,0.0001,61.12,-72.58904266357422,717771
16600,24.64063835144043,37,728479,174.37606075,557,0.0001,62.65,-70.91734313964844,718478
16610,27.41667938232422,37,729149,177.82244103000005,575,0.0001,63.9,-70.29515075683594,719148
16620,24.968769073486328,37,729621,174.37425671000005,588,0.0001,62.58,-68.29143524169922,719620
16630,29.89894676208496,37,730201,176.91839665999998,606,0.0001,62.93,-73.37083435058594,720200
16640,24.503475189208984,37,730765,174.84125462000003,621,0.0001,61.71,-73.0352783203125,720764
16650,28.65938377380371,37,731208,170.82272727000003,633,0.0001,60.41,-74.89627838134766,721207
16660,31.453414916992188,37,731632,166.65700638999996,645,0.0001,59.0,-70.05243682861328,721631
16670,34.69434356689453,37,732189,165.00895982999995,660,0.0001,58.55,-68.76205444335938,722188
16680,33.71239471435547,37,732752,159.18209558,675,0.0001,57.02,-67.34107208251953,722751
16690,31.08273696899414,37,733363,153.38652966,692,0.0001,55.91,-74.82485961914062,723362
16700,30.116262435913086,37,733874,147.31871977000003,705,0.0001,53.95,-73.06158447265625,723873
16710,32.79308319091797,37,734476,144.98113432,721,0.0001,53.27,-70.64213562011719,724475
16720,31.325529098510742,37,735065,148.28320087999998,736,0.0001,54.44,-69.61238861083984,725064
16730,33.325279235839844,37,735527,142.37419322000002,748,0.0001,53.26,-68.70195770263672,725526
16740,33.55466079711914,37,736072,140.24542709000002,762,0.0001,53.07,-68.17243957519531,726071
16750,30.113689422607422,37,736763,147.90680701000002,780,0.0001,55.55,-67.3662109375,726762
16760,40.1755485534668,37,737326,152.26215091000003,795,0.0001,56.94,-74.80431365966797,727325
16770,26.779537200927734,37,737975,154.58990372999997,812,0.0001,57.86,-67.54299926757812,727974
16780,32.05970001220703,37,738636,158.93543477,829,0.0001,58.84,-67.77195739746094,728635
16790,33.470909118652344,37,739340,161.69137109,847,0.0001,59.77,-67.84477233886719,729339
16800,34.367713928222656,37,740002,167.86730147999998,864,0.0001,61.28,-68.79293823242188,730001
16810,32.698455810546875,37,740553,166.54910413000002,878,0.0001,60.77,-73.18655395507812,730552
16820,35.94504165649414,37,741079,164.73651927,892,0.0001,60.14,-72.11146545410156,731078
16830,41.400657653808594,37,741655,171.08331596000005,906,0.0001,61.28,-71.5711441040039,731654
16840,33.66178894042969,37,742379,180.52045190999996,925,0.0001,63.07,-75.69297790527344,732378
16850,43.08717346191406,37,743001,178.09630359000002,941,0.0001,62.38,-66.72785949707031,733000
16860,36.69599533081055,37,743565,178.81096271,956,0.0001,62.39,-64.16482543945312,733564
16870,38.453041076660156,37,744187,179.13562197,972,0.0001,62.12,-74.92304229736328,734186
16880,38.28788757324219,37,744886,180.17553603,990,0.0001,62.5,-68.29053497314453,734885
16890,43.16752624511719,37,745488,177.58348854000005,1006,0.0001,61.48,-68.42587280273438,735487
16900,31.294429779052734,37,746059,175.05733407000002,1020,0.0001,60.57,-75.14559173583984,736058
16910,35.18238067626953,37,746734,179.01700842,1037,0.0001,61.81,-70.81969451904297,736733
16920,35.93145751953125,37,747382,183.94351020000002,1054,0.0001,63.03,-72.56161499023438,737381
16930,34.63014221191406,37,748009,187.24318107999997,1070,0.0001,63.54,-71.81656646728516,738008
16940,37.79902648925781,37,748600,181.37533399,1085,0.0001,62.21,-73.72441864013672,738599
16950,37.39691925048828,37,749309,182.55456496,1103,0.0001,63.08,-72.11195373535156,739308
16960,42.009002685546875,37,749939,185.92518012,1119,0.0001,63.74,-77.52095794677734,739938
16970,38.20086669921875,37,750494,184.43619463,1133,0.0001,63.07,-72.46553802490234,740493
16980,45.028038024902344,37,751016,178.60527978,1146,0.0001,61.3,-75.7381591796875,741015
16990,47.68111038208008,37,751726,182.94970181,1165,0.0001,62.38,-75.13212585449219,741725
17000,38.16875076293945,37,752331,184.1989342,1180,0.0001,62.72,-69.86680603027344,742330
17010,40.0003547668457,37,752890,179.35874139,1195,0.0001,61.56,-71.09718322753906,742889
17020,41.561058044433594,37,753276,170.18746880000003,1205,0.0001,58.94,-68.94051361083984,743275
17030,49.715431213378906,37,753710,161.27619263999998,1216,0.0001,57.01,-67.80233001708984,743709
17040,41.3004035949707,37,754198,157.08095646,1228,0.0001,55.98,-68.74675750732422,744197
17050,46.9573974609375,37,754787,153.90907186,1243,0.0001,54.78,-73.84127044677734,744786
17060,33.729339599609375,37,755258,147.60471649,1255,0.0001,53.19,-72.89859008789062,745257
17070,47.03142547607422,37,755837,148.51581706000002,1271,0.0001,53.43,-69.87303161621094,745836
17080,38.76286315917969,38,756401,150.47762783,1285,0.0001,53.85,-66.0077133178711,746400
17090,44.82076644897461,38,756873,142.90655106,1297,0.0001,51.47,-65.616455078125,746872
17100,36.94058609008789,38,757404,138.79379914999998,1311,0.0001,50.73,-63.51144027709961,747403
17110,38.883148193359375,38,757951,140.05603349,1325,0.0001,50.61,-68.26570129394531,747950
17120,44.63304138183594,38,758332,138.46160847,1335,0.0001,50.56,-71.60043334960938,748331
17130,49.679256439208984,38,758896,142.00648413000002,1350,0.0001,51.86,-72.17578887939453,748895
17140,41.091033935546875,38,759413,142.99487067,1364,0.0001,52.15,-71.60546112060547,749412
17150,40.725791931152344,38,759902,141.03371861,1377,0.0001,51.15,-69.0643310546875,749901
17160,40.767791748046875,38,760563,146.02322885,1394,0.0001,53.05,-73.22724151611328,750562
17170,36.63066864013672,38,761203,148.01914453,1410,0.0001,53.66,-68.22483825683594,751202
17180,54.45703887939453,38,761872,151.03601064,1427,0.0001,54.71,-64.30081176757812,751871
17190,41.203758239746094,38,762519,155.81282701,1444,0.0001,56.46,-69.88665771484375,752518
17200,49.662315368652344,38,763103,157.26202981,1459,0.0001,56.99,-67.57810974121094,753102
17210,40.787818908691406,38,763706,159.30848074999997,1475,0.0001,57.55,-75.02349853515625,753705
17220,34.91657638549805,38,764306,168.39017462000004,1490,0.0001,59.74,-70.33076477050781,754305
17230,52.279823303222656,38,765014,172.71388222000002,1508,0.0001,61.18,-68.23692321777344,755013
17240,36.040523529052734,38,765679,177.55751752,1526,0.0001,62.66,-66.90461730957031,755678
17250,41.57810974121094,38,766296,181.79875846999997,1541,0.0001,63.94,-68.86881256103516,756295
17260,39.46849060058594,38,766872,179.70344614,1556,0.0001,63.09,-66.68644714355469,756871
17270,42.27301788330078,38,767564,180.31102836999997,1574,0.0001,63.61,-67.81229400634766,757563
17280,42.29289627075195,38,768248,180.53144781999995,1591,0.0001,63.76,-61.721580505371094,758247
17290,41.294349670410156,38,768890,180.2031732,1608,0.0001,63.71,-67.16392517089844,758889
17300,43.0972785949707,38,769565,185.12164034000006,1625,0.0001,64.62,-63.58540344238281,759564
17310,40.26103210449219,38,770159,184.66706152999998,1641,0.0001,64.53,-60.81287384033203,760158
17320,42.35325622558594,38,770748,182.85904965999998,1656,0.0001,64.42,-70.55567169189453,760747
17330,35.65442657470703,38,771393,181.2115143,1673,0.0001,63.79,-67.59669494628906,761392
17340,38.268646240234375,38,772018,180.6416567,1689,0.0001,63.39,-61.97992706298828,762017
17350,44.86922836303711,38,772726,183.03554545000006,1707,0.0001,64.3,-63.88475799560547,762725
17360,41.44527816772461,38,773326,183.83450962000003,1723,0.0001,64.54,-65.7998046875,763325
17370,38.290130615234375,38,773941,182.39824843999997,1738,0.0001,63.77,-62.123756408691406,763940
17380,41.38477325439453,38,774472,177.12118605999996,1752,0.0001,62.24,-63.09413528442383,764471
17390,45.503684997558594,38,775117,178.57245017000002,1769,0.0001,62.27,-70.98027801513672,765116
17400,45.325294494628906,38,775670,174.3706463,1783,0.0001,61.05,-63.02574157714844,765669
17410,43.010581970214844,38,776378,178.50107992000002,1802,0.0001,62.19,-64.30732727050781,766377
17420,44.23651885986328,38,776984,181.20633194,1817,0.0001,62.36,-64.88523864746094,766983
17430,46.43148422241211,38,777615,181.50120832000002,1834,0.0001,62.22,-72.0559310913086,767614
17440,32.22338104248047,38,778192,179.38320802,1849,0.0001,61.74,-70.56553649902344,768191
17450,37.041282653808594,38,778769,175.170059,1864,0.0001,60.43,-66.30345916748047,768768
17460,47.49100112915039,38,779354,174.76832524000002,1880,0.0001,60.28,-62.75614929199219,769353
17470,35.683433532714844,38,780015,176.7029329,1897,0.0001,60.74,-63.823551177978516,770014
17480,39.07976531982422,38,780601,179.86452139000005,1912,0.0001,61.29,-60.13498306274414,770600
17490,38.702850341796875,38,781112,175.31647187,1925,0.0001,59.95,-60.90828323364258,771111
17500,48.0644645690918,38,781702,176.19644819,1940,0.0001,60.32,-64.73860168457031,771701
17510,41.79320526123047,38,782522,179.38733918999995,1962,0.0001,61.44,-63.08511734008789,772521
17520,39.1792106628418,38,783184,179.87682526,1980,0.0001,62.0,-64.24705505371094,773183
17530,45.38618469238281,38,783838,179.28984282000002,1997,0.0001,62.23,-63.42961502075195,773837
17540,32.308109283447266,38,784505,183.78548265999999,2014,0.0001,63.13,-62.429779052734375,774504
17550,43.94196319580078,38,785141,188.26683783000001,2030,0.0001,63.72,-63.40912628173828,775140
17560,40.38109588623047,38,785921,194.07071509999997,2050,0.0001,65.67,-59.65195846557617,775920
17570,43.32201385498047,38,786587,193.35235853999998,2067,0.0001,65.72,-60.94910430908203,776586
17580,36.917091369628906,38,787241,194.54552730000003,2084,0.0001,66.4,-62.631935119628906,777240
17590,46.72747039794922,38,787846,198.06986011,2099,0.0001,67.34,-63.765987396240234,777845
17600,42.582420349121094,38,788487,199.56542133,2116,0.0001,67.85,-63.703086853027344,778486
17610,44.413047790527344,38,789219,198.19688042999994,2134,0.0001,66.97,-65.95442962646484,779218
17620,44.963653564453125,38,789778,195.54895525,2149,0.0001,65.94,-60.924224853515625,779777
17630,38.33293151855469,38,790504,198.47230645000002,2168,0.0001,66.66,-55.32939529418945,780503
17640,39.32365417480469,38,791115,196.5287051,2184,0.0001,66.1,-69.15550231933594,781114
17650,42.56159973144531,38,791814,198.18656564,2202,0.0001,66.73,-60.69036865234375,781813
17660,31.726375579833984,38,792526,196.12081105000001,2220,0.0001,66.05,-62.29016876220703,782525
17670,36.49022674560547,38,793190,197.25336853000002,2237,0.0001,66.03,-62.80424880981445,783189
17680,33.595489501953125,38,793948,201.21834352999994,2257,0.0001,67.07,-62.72829055786133,783947
17690,38.68792724609375,38,794774,206.37833209999994,2278,0.0001,69.28,-58.13806915283203,784773
17700,35.882904052734375,38,795513,209.46402891000002,2297,0.0001,70.26,-59.543190002441406,785512
17710,36.03607177734375,38,796190,205.24578268000005,2314,0.0001,69.71,-61.72621536254883,786189
17720,44.7598991394043,38,796808,206.76187568999998,2330,0.0001,70.3,-58.43559265136719,786807
17730,32.92498779296875,38,797530,207.32311064,2349,0.0001,70.26,-61.32830047607422,787529
17740,36.30110168457031,38,798318,210.59111228999998,2369,0.0001,72.03,-60.50175476074219,788317
17750,35.926597595214844,38,798986,209.50373411999996,2387,0.0001,71.72,-65.22100067138672,788985
17760,32.623985290527344,38,799782,212.97569903000004,2407,0.0001,72.56,-60.858985900878906,789781
17770,34.73844909667969,38,800394,208.31616208999995,2423,0.0001,72.04,-59.90016174316406,790393
17780,36.313758850097656,38,801131,206.58469788,2442,0.0001,71.83,-62.5290641784668,791130
17790,39.456485748291016,38,801854,205.88440255999998,2461,0.0001,70.8,-64.70536041259766,791853
17800,42.49790954589844,38,802556,205.37768987000004,2479,0.0001,70.43,-59.15478515625,792555
17810,35.515106201171875,38,803253,207.38976548000002,2497,0.0001,70.63,-61.93474578857422,793252
17820,34.339210510253906,38,803890,207.45470767999998,2514,0.0001,70.82,-54.7022705078125,793889
17830,30.745250701904297,38,804485,202.48227229999998,2529,0.0001,69.55,-59.21472930908203,794484
17840,37.46138000488281,38,805147,200.24568506,2546,0.0001,68.29,-59.631832122802734,795146
17850,36.13665008544922,38,805789,200.15445425,2563,0.0001,68.03,-61.3734016418457,795788
17860,38.97248077392578,38,806545,198.26955187,2582,0.0001,67.63,-60.12586975097656,796544
17870,34.310508728027344,38,807135,199.56416662,2598,0.0001,67.41,-57.728939056396484,797134
17880,34.430931091308594,38,807798,198.17340219999997,2615,0.0001,66.67,-61.25804138183594,797797
17890,34.27707290649414,38,808642,201.46148662999997,2637,0.0001,67.88,-60.232032775878906,798641
17900,32.89192199707031,38,809345,201.16557229999998,2655,0.0001,67.89,-59.59782028198242,799344
17910,32.24093246459961,38,810022,201.43973631000006,2672,0.0001,67.69,-57.656681060791016,800021
17920,36.68583679199219,38,810774,205.26219992000003,2692,0.0001,68.84,-63.02073669433594,800773
17930,36.42216491699219,38,811480,209.7338319,2710,0.0001,69.95,-63.46319580078125,801479
17940,31.848697662353516,38,812059,207.01761535000003,2725,0.0001,69.12,-61.498985290527344,802058
17950,37.22515106201172,38,812709,206.24863519,2741,0.0001,69.2,-61.64888381958008,802708
17960,39.8201789855957,38,813303,201.70388330000003,2756,0.0001,67.58,-56.7570686340332,803302
17970,31.37347412109375,38,813943,202.11191171,2773,0.0001,68.08,-63.093360900878906,803942
17980,32.302040100097656,38,814605,199.77439268,2790,0.0001,68.07,-62.123897552490234,804604
17990,31.873289108276367,38,815314,193.65438558000002,2808,0.0001,66.72,-57.68919372558594,805313
18000,38.74997329711914,38,815879,187.61693224,2823,0.0001,65.34,-58.044334411621094,805878
18010,33.21855163574219,38,816489,183.81648307,2839,0.0001,64.67,-60.92866134643555,806488
18020,32.88395690917969,38,817131,180.10900617,2856,0.0001,63.57,-57.70808792114258,807130
18030,36.68463897705078,38,817779,177.65536796999996,2872,0.0001,62.99,-63.45203399658203,807778
18040,37.44682312011719,38,818368,179.06947805,2888,0.0001,63.09,-64.79496002197266,808367
18050,31.933151245117188,38,818828,174.14390894000005,2899,0.0001,61.19,-64.78427124023438,808827
18060,36.85542297363281,38,819303,170.35600760999998,2912,0.0001,60.0,-62.346614837646484,809302
18070,38.68302917480469,38,819922,171.10192450999995,2928,0.0001,59.79,-55.634437561035156,809921
18080,35.494544982910156,38,820727,178.17301888999998,2949,0.0001,61.22,-66.7082748413086,810726
18090,42.032833099365234,38,821487,180.62558565,2968,0.0001,61.73,-60.7581901550293,811486
18100,38.17938995361328,38,822330,191.52646709,2990,0.0001,64.51,-55.729209899902344,812329
18110,39.89643478393555,38,823135,198.43008094999996,3011,0.0001,66.46,-67.7232437133789,813134
18120,36.78123474121094,38,823853,202.46053283,3029,0.0001,67.22,-57.08578109741211,813852
18130,34.052555084228516,38,824612,204.28686151999995,3049,0.0001,68.33,-62.83686828613281,814611
18140,40.47876739501953,38,825406,208.0174786,3069,0.0001,70.38,-61.48694610595703,815405
18150,39.41487121582031,38,826099,213.80269644999996,3087,0.0001,72.71,-59.8828125,816098
18160,37.515113830566406,38,826876,224.08727943999997,3107,0.0001,75.73,-56.33800506591797,816875
18170,34.100467681884766,38,827613,227.96360445999994,3125,0.0001,76.91,-62.22287368774414,817612
18180,31.99178695678711,38,828304,224.70715999,3143,0.0001,75.77,-59.17470932006836,818303
18190,27.479671478271484,38,829049,224.31044405,3162,0.0001,75.62,-54.749961853027344,819048
18200,35.989471435546875,38,829696,216.64183424000004,3179,0.0001,73.66,-60.845096588134766,819695
18210,33.102996826171875,38,830384,212.49806667000001,3196,0.0001,72.49,-67.2521743774414,820383
18220,42.728092193603516,38,831208,214.71096352,3217,0.0001,73.55,-64.12564849853516,821207
18230,39.693031311035156,38,831945,216.07833471999996,3236,0.0001,73.33,-60.229881286621094,821944
18240,41.41484069824219,38,832683,216.704654,3255,0.0001,72.77,-56.73880386352539,822682
18250,32.520782470703125,38,833358,215.46354729000004,3272,0.0001,72.59,-65.05795288085938,823357
18260,45.277687072753906,38,834062,212.67106869000003,3290,0.0001,71.86,-64.286865234375,824061
18270,39.2249755859375,38,834798,213.20152033,3309,0.0001,71.85,-60.279109954833984,824797
18280,30.825416564941406,38,835595,216.12723004999995,3329,0.0001,72.91,-57.07185363769531,825594
18290,37.90446472167969,38,836408,219.31751004,3350,0.0001,73.59,-63.01698303222656,826407
18300,41.42594909667969,38,837270,227.54727098,3374,0.0001,75.74,-61.074851989746094,827269
18310,37.40480041503906,38,838075,232.0126252,3396,0.0001,76.91,-61.71275329589844,828074
18320,41.45189666748047,38,838824,229.61726658999999,3413,0.0001,76.16,-63.9909782409668,828823
18330,35.047515869140625,38,839491,227.92479166,3428,0.0001,75.46,-56.69088363647461,829490
18340,32.476173400878906,38,840245,227.72084457,3446,0.0001,75.62,-55.82667541503906,830244
18350,38.240501403808594,38,840935,227.03041767000002,3462,0.0001,75.77,-64.52093505859375,830934
18360,42.64604949951172,38,841641,227.00965901,3481,0.0001,75.79,-58.32558822631836,831640
18370,33.291847229003906,38,842381,225.86786776,3501,0.0001,75.83,-59.499229431152344,832380
18380,33.74862289428711,38,843146,224.95594471000004,3521,0.0001,75.51,-62.07822036743164,833145
18390,37.28425598144531,38,843812,219.79700022,3539,0.0001,74.04,-60.766380310058594,833811
18400,43.09795379638672,38,844444,211.71339776000002,3556,0.0001,71.74,-63.544708251953125,834443
18410,39.10224151611328,38,845232,212.29625505000004,3577,0.0001,71.57,-61.22296142578125,835231
18420,39.05980682373047,38,846213,220.61675111999998,3603,0.0001,73.89,-60.80955505371094,836212
18430,35.200897216796875,38,846981,225.06463643000004,3624,0.0001,74.9,-62.270233154296875,836980
18440,41.93505096435547,38,847754,227.27577987999996,3645,0.0001,75.09,-58.13504409790039,837753
18450,32.04213333129883,38,848612,236.48362982000003,3668,0.0001,76.77,-63.848575592041016,838611
18460,35.895896911621094,38,849405,238.89835975000003,3690,0.0001,77.64,-62.218589782714844,839404
18470,35.76234817504883,38,850107,239.03501892999998,3708,0.0001,77.26,-61.1525764465332,840106
18480,31.246421813964844,38,850847,238.3153391,3728,0.0001,77.01,-60.1447868347168,840846
18490,33.188262939453125,38,851587,241.11295184999994,3748,0.0001,77.75,-58.351566314697266,841586
18500,42.915435791015625,38,852415,249.15326115000005,3771,0.0001,79.71,-61.726016998291016,842414
18510,40.085594177246094,38,853205,248.00986697999997,3792,0.0001,79.73,-62.87508773803711,843204
18520,45.12901306152344,38,853962,239.60587924,3812,0.0001,77.49,-57.24006652832031,843961
18530,31.373260498046875,38,854752,238.57636388999998,3834,0.0001,77.71,-65.9747085571289,844751
18540,33.13191223144531,38,855484,235.80529433,3853,0.0001,77.3,-59.39097595214844,845483
18550,33.257896423339844,38,856311,233.39084489,3876,0.0001,76.99,-61.350555419921875,846310
18560,30.444543838500977,38,857115,234.38106875999998,3897,0.0001,77.1,-63.827640533447266,847114
18570,32.325843811035156,38,857942,238.75076613999997,3919,0.0001,78.35,-65.73960876464844,847941
18580,37.616851806640625,38,858750,241.80220605,3941,0.0001,79.03,-65.70953369140625,848749
18590,39.577720642089844,38,859709,248.54761249999996,3967,0.0001,81.22,-59.29148864746094,849708
18600,37.46971130371094,38,860460,244.68186974,3987,0.0001,80.45,-60.640960693359375,850459
18610,41.65288543701172,38,861125,239.52491379,4005,0.0001,79.2,-54.99961471557617,851124
18620,36.18376922607422,38,861728,233.34631771000005,4021,0.0001,77.66,-64.03338623046875,851727
18630,42.88666534423828,38,862430,230.91522222,4039,0.0001,76.78,-60.03925323486328,852429
18640,41.9324836730957,38,863110,230.32267633,4058,0.0001,76.26,-60.99372100830078,853109
18650,39.44755554199219,38,863816,227.50379430000004,4077,0.0001,75.05,-64.1309585571289,853815
18660,39.96232604980469,38,864339,218.97118381999996,4091,0.0001,72.24,-62.156734466552734,854338
18670,42.24613952636719,38,864853,208.82714768000002,4106,0.0001,69.11,-58.54907989501953,854852
18680,31.803953170776367,38,865410,200.52487395999998,4121,0.0001,66.6,-56.96196746826172,855409
18690,35.7767333984375,38,866151,192.63314733999997,4141,0.0001,64.42,-57.853946685791016,856150
18700,38.08845901489258,38,866833,189.84161186,4160,0.0001,63.73,-56.43901824951172,856832
18710,40.84263229370117,38,867552,192.73042754000002,4179,0.0001,64.27,-62.741371154785156,857551
18720,40.58891296386719,38,868261,198.51447311000004,4198,0.0001,65.33,-61.26630401611328,858260
18730,42.212257385253906,38,869044,201.57290579999997,4219,0.0001,66.14,-60.728546142578125,859043
18740,41.52791976928711,38,869759,203.63836677,4239,0.0001,66.49,-60.37369918823242,859758
18750,40.386940002441406,38,870494,204.34969445000002,4259,0.0001,66.78,-63.30078125,860493
18760,39.588348388671875,38,871333,215.00905165000003,4282,0.0001,69.94,-62.191490173339844,861332
18770,38.206512451171875,38,872050,220.95921062999997,4303,0.0001,71.97,-55.39719009399414,862049
18780,37.39607238769531,38,872789,226.88039682,4325,0.0001,73.79,-60.91204833984375,862788
18790,37.9191780090332,38,873633,232.95683077,4349,0.0001,74.82,-60.04022216796875,863632
18800,29.33509635925293,38,874344,235.57347206999998,4368,0.0001,75.11,-65.05626678466797,864343
18810,41.83030700683594,38,875157,238.95083226000003,4392,0.0001,76.05,-66.28633880615234,865156
18820,46.72484588623047,38,875821,237.11837897,4410,0.0001,75.6,-64.94013977050781,865820
18830,37.0651969909668,38,876438,231.38004740000005,4427,0.0001,73.94,-66.18400573730469,866437
18840,38.932373046875,38,876856,220.40649573999997,4439,0.0001,70.97,-58.85516357421875,866855
18850,37.14788055419922,38,877282,210.67166740000005,4450,0.0001,67.88,-62.85076141357422,867281
18860,33.03245544433594,38,877995,206.56743255,4470,0.0001,66.62,-61.403038024902344,867994
18870,39.876007080078125,38,878632,202.8454504,4487,0.0001,65.82,-58.80453872680664,868631
18880,33.684322357177734,38,879292,199.84530809,4505,0.0001,65.03,-59.42811965942383,869291
